Word,Frequencies
junto,260
Para,261
ira,262
só,263
debaixo,264
ser,265
-,266
quaes,267
fallou,268
muitos,269
ouvidos,270
parte,271
minhas,272
farei,273
Aarão,274
vinte,275
n’elle,276
Como,277
prata,278
filha,279
vossa,280
fizeram,281
és,282
Babylonia,283
ninguem,284
mãe,285
cinco,286
saber,287
mulheres,288
Pharaó,289
paz,290
herança,291
duas,292
hoje,293
nunca,294
Pae,295
nossos,296
JEHOVAH,297
inimigos,298
enviou,299
banda,300
concerto,301
pés,302
José,303
Quando,304
eram,305
comtigo,306
vestidos,307
quatro,308
redor,309
feito,310
agua,311
juizo,312
fará,313
fé,314
Portanto,315
Quem,316
pé,317
tenda,318
levitas,319
disse-lhe,320
algum,321
Exercitos,322
Espirito,323
primeiro,324
obras,325
templo,326
d’um,327
mundo,328
philisteos,329
rosto,330
discipulos,331
povos,332
arca,333
propheta,334
saiu,335
mez,336
pelas,337
Josué,338
filhas,339
exercito,340
porventura,341
tribu,342
judeos,343
poz,344
succedeu,345
Abrahão,346
n’ella,347
vez,348
prophetas,349
As,350
tinham,351
deuses,352
Depois,353
faz,354
semente,355
força,356
vieram,357
nada,358
Pelo,359
pelos,360
Por,361
Porventura,362
d’ella,363
dez,364
disse-lhes,365
Tu,366
poder,367
sabedoria,368
alguem,369
dito,370
luz,371
n’aquelle,372
gerou,373
maneira,374
amor,375
vem,376
ácerca,377
fôr,378
alguns,379
ovelhas,380
De,381
comigo,382
guarda,383
guerra,384
tal,385
haverá,386
mortos,387
graça,388
covados,389
expiação,390
bom,391
anjo,392
digo,393
Paulo,394
aquelles,395
Ora,396
pouco,397
portas,398
chamou,399
caminhos,400
justo,401
nenhum,402
aconteceu,403
Jordão,404
tão,405
fim,406
holocausto,407
qualquer,408
respondeu,409
iniquidade,410
sorte,411
anciãos,412
cima,413
Pois,414
escripto,415
doze,416
uns,417
principe,418
comvosco,419
nossa,420
levantou,421
senão,422
corpo,423
dá,424
vendo,425
manhã,426
peccados,427
d’entre,428
sancto,429
pedras,430
teem,431
vinho,432
grandes,433
sol,434
termo,435
Agora,436
trinta,437
feriu,438
mandamentos,439
dado,440
tendo,441
sanctuario,442
muitas,443
Pedro,444
comer,445
livro,446
fructo,447
geração,448
n’um,449
sendo,450
salvação,451
vasos,452
Benjamin,453
throno,454
No,455
ir,456
logo,457
Disse,458
d’este,459
azeite,460
João,461
pedra,462
varão,463
ter,464
resto,465
viu,466
cincoenta,467
montes,468
nenhuma,469
Jeremias,470
casas,471
tabernaculo,472
Sião,473
direita,474
ordem,475
impios,476
d’esta,477
estando,478
reinou,479
morreu,480
sómente,481
fallar,482
arraial,483
ministerio,484
Este,485
dar,486
Porquanto,487
darei,488
tens,489
longe,490
misericordia,491
Samuel,492
fizeste,493
animaes,494
ficou,495
norte,496
quarenta,497
farás,498
vezes,499
mesma,500
moradores,501
ouvir,502
ouvindo,503
Sancto,504
fome,505
Em,506
houve,507
tanto,508
vir,509
subiu,510
testemunho,511
após,512
oriente,513
rio,514
sacrificio,515
sanctos,516
sul,517
tarde,518
dizia,519
ellas,520
conselho,521
fiz,522
entrou,523
dinheiro,524
forte,525
sois,526
d’aquelle,527
estatutos,528
juntamente,529
Joab,530
pode,531
manjares,532
dentro,533
valle,534
numero,535
certamente,536
mandou,537
morto,538
logares,539
incenso,540
vae,541
gerações,542
estou,543
lingua,544
temor,545
Isaac,546
furor,547
havendo,548
subir,549
aquella,550
tornou,551
dará,552
vinha,553
nossas,554
passar,555
virá,556
carros,557
boa,558
começou,559
familias,560
trevas,561
vento,562
vestido,563
Ezequias,564
familia,565
Jonathan,566
gado,567
impio,568
juizos,569
sabbado,570
Estes,571
cujo,572
alegria,573
alto,574
tribus,575
captiveiro,576
d’ali,577
d’uma,578
varões,579
mesmos,580
peleja,581
gentios,582
beber,583
quer,584
falla,585
seis,586
Moab,587
d’oiro,588
cavallos,589
d’isto,590
immundo,591
Samaria,592
n’este,593
Ephraim,594
somos,595
proximo,596
sejam,597
maior,598
haja,599
tirou,600
Na,601
defronte,602
marido,603
oração,604
presença,605
vindo,606
entrar,607
Elle,608
deram,609
maldade,610
visto,611
vi,612
Gilead,613
pó,614
cobre,615
lá,616
vontade,617
entendimento,618
mui,619
terras,620
ouviu,621
n’uma,622
dizer,623
chegou,624
benignidade,625
tiver,626
terceiro,627
setimo,628
tomaram,629
sairam,630
Manasseh,631
egypcios,632
Ou,633
signal,634
irmã,635
faça,636
Ainda,637
serás,638
primogenito,639
ouvido,640
temos,641
sacrificios,642
arrabaldes,643
houver,644
muro,645
Esta,646
Jeroboão,647
Absalão,648
ambos,649
encontro,650
Elias,651
ordenou,652
É,653
ouvi,654
cento,655
altos,656
nação,657
similhante,658
offertas,659
ossos,660
trouxe,661
sei,662
Esaú,663
hora,664
Assyria,665
nomes,666
madeira,667
nuvem,668
ouve,669
Vae,670
idolos,671
principio,672
edade,673
largura,674
menino,675
praga,676
achou,677
Até,678
sair,679
esperança,680
cabeças,681
serei,682
Com,683
pozeram,684
melhor,685
honra,686
evangelho,687
porei,688
edificou,689
chegando,690
justos,691
Ó,692
labios,693
mesa,694
Um,695
cem,696
Todos,697
visão,698
certo,699
vê,700
anjos,701
trigo,702
inimigo,703
pariu,704
setenta,705
trabalho,706
posto,707
Canaan,708
morrerá,709
dizem,710
ferro,711
valentes,712
assentado,713
cova,714
mandado,715
linho,716
fosse,717
conhecimento,718
respondendo,719
ventre,720
levou,721
carneiro,722
bois,723
Vós,724
dei,725
phariseos,726
gordura,727
Ai,728
caiu,729
possessão,730
festa,731
ficaram,732
pobre,733
Josaphat,734
egreja,735
estará,736
d’antes,737
perto,738
abundancia,739
novo,740
fortes,741
entrada,742
sabios,743
tendes,744
vara,745
Já,746
holocaustos,747
sabio,748
Job,749
aves,750
almas,751
rebanho,752
comnosco,753
trouxeram,754
puro,755
vaidade,756
n’elles,757
mancebos,758
siclos,759
contados,760
arvore,761
desceu,762
chamado,763
sabeis,764
paschoa,765
Achab,766
viram,767
moço,768
diziam,769
leão,770
olho,771
fizera,772
atraz,773
angustia,774
deixou,775
mandamento,776
chefes,777
Daniel,778
tendas,779
levantaram,780
teve,781
vaccas,782
adiante,783
columnas,784
cuja,785
virão,786
passou,787
occidente,788
cordeiros,789
modo,790
pães,791
summo,792
abominações,793
comsigo,794
d’ellas,795
lado,796
Levanta-te,797
trazer,798
serva,799
anda,800
Quanto,801
fareis,802
negocio,803
ama,804
ordenara,805
Levi,806
comtudo,807
fizer,808
Nem,809
taboas,810
fortaleza,811
comprimento,812
ver,813
tornar,814
subiram,815
venha,816
direito,817
reinar,818
recto,819
d’estas,820
ribeiro,821
cama,822
graças,823
azas,824
matou,825
ia,826
estrangeiro,827
terá,828
fazendo,829
mensageiros,830
fazem,831
corações,832
refs,833
n’esta,834
acharam,835
sepultura,836
louvor,837
caridade,838
porção,839
herva,840
sabe,841
sereis,842
chuva,843
entrando,844
sombra,845
chaldeos,846
signaes,847
voltou,848
feriram,849
chegar,850
saindo,851
partiram,852
mau,853
thesouros,854
maravilhas,855
exercitos,856
Amen,857
andam,858
ordenado,859
esquerda,860
vão,861
propria,862
lança,863
Simão,864
gente,865
levaram,866
dirá,867
boi,868
Syria,869
riquezas,870
velho,871
tornará,872
sairá,873
amado,874
chefe,875
vivo,876
cairam,877
Abimelech,878
Ruben,879
chegaram,880
aldeias,881
syros,882
Nabucodonozor,883
animal,884
tenha,885
carneiros,886
parecer,887
Succedeu,888
fino,889
estaes,890
Aquelle,891
quarto,892
Onde,893
fôra,894
sessenta,895
duzentos,896
fazenda,897
Dan,898
Edom,899
comerá,900
pateo,901
parabola,902
sido,903
Psalmo,904
disseram-lhe,905
foi-se,906
Gad,907
esse,908
porá,909
sancta,910
Ah,911
eterna,912
assolação,913
Estas,914
vista,915
arvores,916
Ouvi,917
haviam,918
emquanto,919
moabitas,920
morrer,921
vier,922
portanto,923
Da,924
amorrheos,925
dura,926
termos,927
bases,928
Libano,929
(Selah),930
ouviram,931
esteve,932
verão,933
destruir,934
edificar,935
N’aquelle,936
estiver,937
farinha,938
Ao,939
levantou-se,940
presente,941
fui,942
dize,943
braço,944
indignação,945
Rei,946
escribas,947
comereis,948
limpo,949
Dos,950
traz,951
Abrão,952
lançou,953
sabes,954
carro,955
despojo,956
capitães,957
lh’o,958
feitos,959
Jericó,960
Baal,961
cherubins,962
entraram,963
toma,964
cheiro,965
Hebron,966
seguinte,967
totalmente,968
andar,969
tempos,970
imagem,971
altura,972
vive,973
montanha,974
benção,975
temas,976
Disse-lhe,977
faze,978
habita,979
cordeiro,980
segunda,981
livre,982
disser,983
fallando,984
boas,985
mataram,986
fazia,987
vaso,988
sêde,989
pelle,990
pobres,991
metade,992
ruas,993
foste,994
habitam,995
fallava,996
peccar,997
d’aquelles,998
primeiros,999
Galilea,1000
Zedekias,1001
Anno,1002
Domini,1003
déste,1004
possa,1005
violencia,1006
hei,1007
estendeu,1008
partiu,1009
Sichem,1010
flor,1011
faço,1012
clamor,1013
bosque,1014
milhares,1015
sae,1016
Eleazar,1017
rios,1018
principaes,1019
Balaão,1020
Jehu,1021
apostolos,1022
bestas,1023
matar,1024
Noé,1025
cheia,1026
seiscentos,1027
tornaram,1028
maldição,1029
Fallou,1030
cuidado,1031
cargo,1032
comerão,1033
taes,1034
mocidade,1035
falta,1036
israelitas,1037
tomará,1038
fiel,1039
refugio,1040
Eliseo,1041
macho,1042
tomarás,1043
indo,1044
Damasco,1045
fio,1046
meninos,1047
além,1048
serviço,1049
seria,1050
dirás,1051
sonho,1052
áquelle,1053
mel,1054
farão,1055
meia,1056
fallei,1057
prazer,1058
Tyro,1059
mancebo,1060
Todo,1061
entregou,1062
medida,1063
Bem,1064
beneficencia,1065
cobriu,1066
lombos,1067
abominação,1068
ramos,1069
estarão,1070
Mardoqueo,1071
Certamente,1072
pensamentos,1073
come,1074
habitar,1075
oito,1076
Vendo,1077
vergonha,1078
capitão,1079
presos,1080
estatuto,1081
memoria,1082
Abner,1083
desejo,1084
tornarei,1085
nuvens,1086
habitação,1087
pastores,1088
maus,1089
d’onde,1090
tomar,1091
peso,1092
n’ellas,1093
fallaram,1094
mezes,1095
outras,1096
servir,1097
ficar,1098
corôa,1099
reinos,1100
Pilatos,1101
mantimento,1102
sciencia,1103
besta,1104
suave,1105
fugiram,1106
destruição,1107
d’aquella,1108
montanhas,1109
jumento,1110
Labão,1111
queimada,1112
dizeis,1113
sim,1114
rocha,1115
bezerro,1116
deus,1117
entrará,1118
gentes,1119
Basan,1120
doutrina,1121
Joiada,1122
Josias,1123
gozo,1124
Maria,1125
porás,1126
rostos,1127
habitaram,1128
afflicção,1129
pôr,1130
voltar,1131
estranhos,1132
viuva,1133
estar,1134
levantará,1135
deixaram,1136
sanctidade,1137
roda,1138
trezentos,1139
repouso,1140
arco,1141
trarei,1142
Falla,1143
transgressão,1144
d’Ephraim,1145
culpa,1146
ficará,1147
louvores,1148
juizes,1149
novilho,1150
offerecer,1151
promessa,1152
atrio,1153
rainha,1154
Zacharias,1155
cair,1156
continuamente,1157
d’estes,1158
n’aquella,1159
habitavam,1160
fugiu,1161
fonte,1162
achado,1163
fallado,1164
Vem,1165
aquillo,1166
fazei,1167
tocar,1168
lua,1169
quasi,1170
prisão,1171
fostes,1172
passando,1173
bode,1174
muros,1175
companheiro,1176
Roboão,1177
cantor-mór,1178
haver,1179
vêr,1180
Bemdito,1181
poderoso,1182
quatrocentos,1183
comeram,1184
detraz,1185
sepulchro,1186
cananeos,1187
juramento,1188
jugo,1189
Simeão,1190
veem,1191
extremidade,1192
fructos,1193
parede,1194
cairão,1195
imagens,1196
testemunhas,1197
d’Ammon,1198
juntos,1199
ajuntaram,1200
perpetuo,1201
fazes,1202
novas,1203
clamou,1204
levar,1205
quiz,1206
cavalleiros,1207
proprio,1208
sejaes,1209
firme,1210
opprobrio,1211
Joás,1212
Dizendo,1213
resurreição,1214
quinto,1215
comida,1216
ferir,1217
volta,1218
Todo-poderoso,1219
madrugada,1220
Ammon,1221
Toma,1222
Naphtali,1223
iam,1224
dôres,1225
Isto,1226
ámanhã,1227
acamparam-se,1228
rede,1229
altares,1230
nova,1231
inferno,1232
Isaias,1233
Esther,1234
eternamente,1235
achar,1236
n’aquelles,1237
disseste,1238
peccadores,1239
cheio,1240
dada,1241
irá,1242
pescoço,1243
ungido,1244
testemunha,1245
levantar,1246
põe,1247
habitantes,1248
viverá,1249
ephod,1250
coberta,1251
talentos,1252
pedaços,1253
lançaram,1254
camaras,1255
dê,1256
estrellas,1257
Sodoma,1258
jumentos,1259
entranhas,1260
leite,1261
véu,1262
presentes,1263
Rachel,1264
ajuntou,1265
Ha,1266
terás,1267
midianitas,1268
pranto,1269
cairá,1270
asmos,1271
II,1272
purpura,1273
mancha,1274
vinhas,1275
impiedade,1276
Mestre,1277
guardar,1278
estás,1279
habitou,1280
Ishmael,1281
poço,1282
andando,1283
amigo,1284
podia,1285
t’o,1286
tristeza,1287
saberão,1288
alta,1289
cantico,1290
tomando,1291
bezerros,1292
immundicia,1293
demonios,1294
Altissimo,1295
Gibeah,1296
successos,1297
confiança,1298
Haman,1299
tolo,1300
menor,1301
abençoou,1302
viva,1303
sega,1304
nudez,1305
chama,1306
passaram,1307
sejas,1308
accendeu,1309
passa,1310
conhece,1311
dentes,1312
descanço,1313
cortinas,1314
continuo,1315
Desde,1316
Pela,1317
veredas,1318
amigos,1319
Zadok,1320
interior,1321
comerás,1322
dirão,1323
camelos,1324
fica,1325
jurou,1326
primeira,1327
armas,1328
Uma,1329
Ide,1330
estranho,1331
mentira,1332
d’Aarão,1333
innocente,1334
soberba,1335
todavia,1336
animo,1337
Satanaz,1338
Herodes,1339
abriu,1340
Tudo,1341
desce,1342
respeito,1343
dou,1344
columna,1345
disse-me,1346
pequeno,1347
sabemos,1348
partes,1349
borda,1350
cego,1351
livrar,1352
cheios,1353
passará,1354
grandeza,1355
prophetiza,1356
Ouve,1357
vingança,1358
castigo,1359
Sansão,1360
carta,1361
Asa,1362
Joaquim,1363
olha,1364
batalha,1365
dissera,1366
derramou,1367
(porque,1368
desceram,1369
Todas,1370
baixo,1371
levará,1372
costas,1373
Fez,1374
immunda,1375
parecia,1376
voltaram,1377
Jessé,1378
reinado,1379
Jorão,1380
Louvae,1381
resuscitou,1382
esteja,1383
comeu,1384
lançado,1385
decimo,1386
escudo,1387
espanto,1388
puz,1389
ahi,1390
menos,1391
d’além,1392
descer,1393
podem,1394
cavallo,1395
Todavia,1396
Simei,1397
Nunca,1398
sanctas,1399
dizes,1400
deve,1401
lepra,1402
guardas,1403
estamos,1404
Balac,1405
levantando-se,1406
vinda,1407
Azarias,1408
dominio,1409
Do,1410
tomado,1411
covado,1412
eterno,1413
appareceu,1414
podiam,1415
contenda,1416
determinado,1417
quantos,1418
d’hoje,1419
lenha,1420
camara,1421
outeiros,1422
faziam,1423
Aos,1424
engano,1425
primicias,1426
oitavo,1427
offerecerá,1428
transgressões,1429
trombeta,1430
captivos,1431
Gideon,1432
vim,1433
Nathan,1434
chronicas,1435
malicia,1436
synagoga,1437
secca,1438
fama,1439
linguas,1440
peço-te,1441
conta,1442
fumo,1443
Sarah,1444
chegado,1445
levanta,1446
tirar,1447
siclo,1448
mosto,1449
darás,1450
traziam,1451
sacco,1452
fizestes,1453
temaes,1454
fazerem,1455
campos,1456
fallarei,1457
razão,1458
busca,1459
Achaz,1460
Thiago,1461
jardim,1462
receber,1463
andou,1464
cume,1465
muita,1466
galardão,1467
escuridão,1468
faremos,1469
pasto,1470
poucos,1471
bodes,1472
sepultaram,1473
morreram,1474
adversarios,1475
porão,1476
cinto,1477
sabbados,1478
entregue,1479
pacifico,1480
queimou,1481
eis-que,1482
real,1483
zelo,1484
bronze,1485
buscam,1486
rectos,1487
verdadeiro,1488
similhança,1489
somno,1490
figueira,1491
viveu,1492
nove,1493
torre,1494
Lot,1495
entra,1496
injustiça,1497
Meu,1498
circumcisão,1499
morra,1500
manda,1501
servirá,1502
sabia,1503
Zebulon,1504
subindo,1505
cessar,1506
hão,1507
dextra,1508
Sinai,1509
quero,1510
escreveu,1511
sacerdocio,1512
feita,1513
occulto,1514
cedro,1515
perdição,1516
entender,1517
Gilgal,1518
thesouro,1519
alturas,1520
jurisdicção,1521
leões,1522
barco,1523
creados,1524
sabendo,1525
oitenta,1526
Seir,1527
preso,1528
depressa,1529
conhecido,1530
cinza,1531
haveis,1532
Qual,1533
d’aqui,1534
consumirá,1535
poderá,1536
fallam,1537
fazeis,1538
ruina,1539
escolhidos,1540
Sobre,1541
viver,1542
aborrece,1543
varaes,1544
cornos,1545
trará,1546
testemunhos,1547
piedade,1548
digno,1549
morada,1550
jubilo,1551
cantores,1552
bens,1553
paciencia,1554
egrejas,1555
pastor,1556
S,1557
offereceu,1558
(que,1559
levado,1560
Ouvindo,1561
preparado,1562
virgem,1563
acabando,1564
quatorze,1565
achei,1566
Vive,1567
Merari,1568
livrou,1569
terceira,1570
peste,1571
laço,1572
alçada,1573
carmezim,1574
offerecereis,1575
Caleb,1576
Gibeon,1577
valente,1578
mediu,1579
cegos,1580
Judas,1581
Judea,1582
abysmo,1583
separação,1584
deixará,1585
dôr,1586
Nós,1587
Bethel,1588
formosa,1589
vá,1590
rico,1591
commigo,1592
forno,1593
velhos,1594
chorou,1595
buscar,1596
bons,1597
joelhos,1598
enviei,1599
parto,1600
Vinde,1601
fornicação,1602
Ninguem,1603
interpretação,1604
tira,1605
dize-lhes,1606
dedo,1607
convem,1608
decima,1609
estrangeiros,1610
lados,1611
cordas,1612
grão,1613
fluxo,1614
votos,1615
ultimo,1616
trombetas,1617
rebeldes,1618
vou,1619
homicida,1620
assentados,1621
quão,1622
Urias,1623
Amasias,1624
Jonas,1625
chamada,1626
vivos,1627
acontecerá,1628
d’agua,1629
costume,1630
façaes,1631
Qualquer,1632
fizesse,1633
direis,1634
tocou,1635
moça,1636
sobe,1637
enviaram,1638
olhando,1639
supplica,1640
vêem,1641
andaram,1642
excellente,1643
barro,1644
sabereis,1645
saraiva,1646
esculptura,1647
pelejar,1648
possuir,1649
serviram,1650
rebelde,1651
fossem,1652
passos,1653
frechas,1654
fieis,1655
Semaias,1656
Philippe,1657
conheceram,1658
andava,1659
setecentos,1660
tirei,1661
faças,1662
destruirei,1663
juiz,1664
sonhos,1665
moços,1666
preço,1667
voto,1668
Disse-lhes,1669
levantei,1670
estado,1671
Beth-lehem,1672
uvas,1673
dormiu,1674
preza,1675
servidão,1676
cevada,1677
tereis,1678
verá,1679
consumiu,1680
epha,1681
ouça,1682
amam,1683
azul,1684
bondade,1685
ordeno,1686
bebida,1687
parece,1688
membros,1689
destruiu,1690
Hesbon,1691
sabem,1692
Rama,1693
reina,1694
mentiras,1695
afflicto,1696
provincia,1697
especie,1698
peixes,1699
conhecer,1700
má,1701
olhou,1702
Toda,1703
irei,1704
campina,1705
destruido,1706
nascido,1707
sepultado,1708
aquellas,1709
deitou,1710
encheu,1711
quizer,1712
orvalho,1713
enviarei,1714
poz-se,1715
terão,1716
fidelidade,1717
copo,1718
deixar,1719
poderam,1720
maioraes,1721
chamados,1722
lavará,1723
verás,1724
ouvirá,1725
passado,1726
aborrecem,1727
pessoa,1728
queimará,1729
immundos,1730
iniquidades,1731
forças,1732
dizimos,1733
ultimos,1734
livrará,1735
necessitado,1736
loucura,1737
alliança,1738
Gath,1739
Prophecia,1740
arrependimento,1741
ai,1742
porteiros,1743
d’Assyria,1744
temem,1745
seculo,1746
calix,1747
Cordeiro,1748
ajuntamento,1749
Adão,1750
fontes,1751
Elles,1752
ilhas,1753
habitava,1754
frente,1755
olhei,1756
recebe,1757
assentou-se,1758
veja,1759
Rebecca,1760
Leah,1761
Melhor,1762
madre,1763
salvo,1764
trazia,1765
deixa,1766
dareis,1767
instrumentos,1768
ardor,1769
saido,1770
serem,1771
tiveram,1772
Sehon,1773
cedros,1774
antigos,1775
magestade,1776
tropas,1777
jejum,1778
lagrimas,1779
crê,1780
obram,1781
traspassados,1782
DE,1783
ave,1784
pelles,1785
ora,1786
nascimento,1787
quinhentos,1788
nasceram,1789
Sidon,1790
Beth-el,1791
quarta,1792
Seja,1793
orações,1794
preceitos,1795
Veiu,1796
Estando,1797
cujos,1798
habitarão,1799
resposta,1800
tiraram,1801
vol-o,1802
vereis,1803
chamar,1804
braços,1805
seio,1806
n’isto,1807
ambas,1808
rodas,1809
leva,1810
espinhos,1811
deitar,1812
cantos,1813
castiçal,1814
rins,1815
peccou,1816
momento,1817
intelligencia,1818
fornicações,1819
espiritos,1820
subirá,1821
saidas,1822
dom,1823
torna,1824
Silo,1825
escrivão,1826
cartas,1827
Gedalias,1828
maldades,1829
diabo,1830
auctoridade,1831
sexto,1832
conheceu,1833
concebeu,1834
escolheu,1835
medidas,1836
sinceridade,1837
aonde,1838
cabras,1839
Está,1840
Tenho,1841
eunuchos,1842
peitos,1843
tirado,1844
levita,1845
estendido,1846
estiverem,1847
glorificado,1848
vêde,1849
perpetuamente,1850
carga,1851
oleo,1852
ponta,1853
fundição,1854
saiba,1855
Nun,1856
penha,1857
purificação,1858
novidade,1859
assolada,1860
demais,1861
Era,1862
Hamath,1863
diga,1864
raiz,1865
Bemaventurado,1866
soccorro,1867
Eli,1868
corpos,1869
Achazias,1870
Asaph,1871
necessario,1872
permanece,1873
serpente,1874
quinze,1875
has,1876
perfeito,1877
banquete,1878
sahi,1879
),1880
Berseba,1881
sahiam,1882
tirarei,1883
vinham,1884
dava,1885
compaixão,1886
ouvistes,1887
vinde,1888
Sobe,1889
clamaram,1890
officiaes,1891
chegará,1892
Tendo,1893
buzina,1894
forem,1895
ferido,1896
viuvas,1897
façam,1898
base,1899
libações,1900
vendo-o,1901
sortes,1902
acha,1903
terça,1904
eira,1905
ouvem,1906
fundamentos,1907
andavam,1908
Jefthe,1909
entregarei,1910
philisteo,1911
amados,1912
Salvador,1913
provincias,1914
Micha,1915
Johanan,1916
judeo,1917
canna,1918
cruz,1919
Cesar,1920
Barnabé,1921
dando,1922
grandemente,1923
confusão,1924
Olha,1925
servirão,1926
cá,1927
habitará,1928
acabou,1929
senhores,1930
pequena,1931
sal,1932
orou,1933
levanta-te,1934
más,1935
Issacar,1936
seremos,1937
Aser,1938
vide,1939
pau,1940
viesse,1941
fomos,1942
Kohath,1943
tomei,1944
ardente,1945
fallará,1946
tomarão,1947
julgar,1948
Lembra-te,1949
orphão,1950
negocios,1951
offereceram,1952
argolas,1953
propiciatorio,1954
extremidades,1955
licito,1956
deixes,1957
Tão,1958
Comtudo,1959
Tinha,1960
similhantes,1961
Abiathar,1962
som,1963
reprehensão,1964
misericordias,1965
Saphan,1966
palacios,1967
Assuero,1968
confia,1969
navio,1970
Timotheo,1971
Escriptura,1972
consciencia,1973
morrerás,1974
começaram,1975
janellas,1976
acima,1977
Maldito,1978
servas,1979
rebanhos,1980
vês,1981
correu,1982
chamaram,1983
posso,1984
responderam,1985
preciosas,1986
seguiram,1987
oriental,1988
leis,1989
deixarei,1990
terrivel,1991
der,1992
montão,1993
tivesse,1994
libação,1995
enviado,1996
carcere,1997
espigas,1998
ponha,1999
descem,2000
ouvimos,2001
conheço,2002
miudo,2003
feridos,2004
Mar,2005
outeiro,2006
degraus,2007
resgate,2008
ensinar,2009
sittim,2010
d’outra,2011
paga,2012
dons,2013
palmas,2014
Foram,2015
levavam,2016
apparencia,2017
campinas,2018
falsos,2019
levantam,2020
Mispah,2021
livra,2022
companheiros,2023
Amnon,2024
Cantico,2025
Manassés,2026
Baása,2027
Hilkias,2028
Zorobabel,2029
Hananias,2030
virtude,2031
creou,2032
sahia,2033
ordenei,2034
Sem,2035
antiguidade,2036
enviar,2037
saem,2038
apartou,2039
contou,2040
cadaveres,2041
bolos,2042
tornou-se,2043
pareceu,2044
areia,2045
correntes,2046
jurar,2047
d’ahi,2048
amava,2049
deitado,2050
chega,2051
annunciou,2052
Vindo,2053
mesmas,2054
prostituta,2055
fallara,2056
especiarias,2057
fique,2058
erro,2059
Dae,2060
oppressão,2061
gafanhotos,2062
creanças,2063
poderosos,2064
lampadas,2065
tirará,2066
alcançar,2067
liberdade,2068
escolher,2069
plenitude,2070
soldados,2071
cadeias,2072
lançar,2073
Respondeu,2074
Sallum,2075
discipulo,2076
Esdras,2077
proprios,2078
baptismo,2079
Faze,2080
hombros,2081
essa,2082
foram-se,2083
sairão,2084
temeu,2085
fallo,2086
estatua,2087
pozeste,2088
Eis-me,2089
assento,2090
louvarei,2091
inveja,2092
annunciado,2093
alva,2094
comem,2095
pacificos,2096
habitações,2097
Tamar,2098
sogro,2099
cheias,2100
queimadas,2101
entendido,2102
vimos,2103
saccos,2104
chegada,2105
navios,2106
tributo,2107
maioral,2108
livramento,2109
destruirá,2110
pelejou,2111
voluntariamente,2112
uncção,2113
cherubim,2114
Cada,2115
Será,2116
Dá,2117
enfermidade,2118
assentar,2119
canto,2120
fortalezas,2121
ribeiros,2122
chorando,2123
receberam,2124
valles,2125
achará,2126
caso,2127
